229180,"2019-11-18 18:22:27",udp,172.10.1.2,55525,172.10.1.5,162
229181,"2019-11-18 18:22:27",udp,172.10.1.2,55525,172.10.1.5,123
229182,"2019-11-18 18:22:27",udp,172.10.1.2,55525,172.10.1.5,161
229183,"2019-11-18 18:22:28",udp,172.10.1.2,55526,172.10.1.5,161
229184,"2019-11-18 18:22:28",udp,172.10.1.2,55526,172.10.1.5,123
229185,"2019-11-18 18:22:28",udp,172.10.1.2,55526,172.10.1.5,162
229186,"2019-11-18 18:23:03",udp,172.10.1.2,35374,172.10.1.5,162
229187,"2019-11-18 18:23:03",udp,172.10.1.2,35374,172.10.1.5,123
229188,"2019-11-18 18:23:03",udp,172.10.1.2,35374,172.10.1.5,161
229189,"2019-11-18 18:23:04",udp,172.10.1.2,35375,172.10.1.5,161
229190,"2019-11-18 18:23:04",udp,172.10.1.2,35375,172.10.1.5,123
229191,"2019-11-18 18:23:04",udp,172.10.1.2,35375,172.10.1.5,162
229192,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229193,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229194,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229195,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229196,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229197,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229198,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229199,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229200,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229201,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229202,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229203,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229204,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229205,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229206,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229207,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229208,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229209,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229210,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229211,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229212,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229213,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229214,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229215,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229216,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229217,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229218,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229219,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229220,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229221,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229222,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229223,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229224,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229225,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229226,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229227,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229228,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229229,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229230,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229231,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229232,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229233,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229234,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229235,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229236,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229237,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229238,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229239,"2019-11-18 18:23:33",icmp,172.10.1.2,0,172.10.1.5,8
229240,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229241,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229242,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229243,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229244,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229245,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229246,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
229247,"2019-11-18 18:23:34",icmp,172.10.1.2,0,172.10.1.5,8
